year,municipality,barcelona neighbourhoods,concept,status,value
2015,Barcelona,Pedralbes,low-skilled workers (%),,2.4
2015,Barcelona,Pedralbes,population with low studies (%),.., 
2015,Barcelona,Pedralbes,young population without post-compulsory education (%),.., 
2015,Barcelona,Pedralbes,foreign population from low or middle income countries (%),,6
2015,Barcelona,Pedralbes,average income per person (€),,26112
2015,Barcelona,"Vallvidrera, el Tibidabo i les Planes",employed population (%),,61.6
2015,Barcelona,"Vallvidrera, el Tibidabo i les Planes",low-skilled workers (%),,5.3
2015,Barcelona,"Vallvidrera, el Tibidabo i les Planes",population with low studies (%),.., 
2015,Barcelona,"Vallvidrera, el Tibidabo i les Planes",young population without post-compulsory education (%),.., 
2015,Barcelona,"Vallvidrera, el Tibidabo i les Planes",foreign population from low or middle income countries (%),,3.7
2015,Barcelona,"Vallvidrera, el Tibidabo i les Planes",average income per person (€),,17521
2015,Barcelona,Sarrià,employed population (%),,61.9
2015,Barcelona,Sarrià,low-skilled workers (%),,2.3
2015,Barcelona,Sarrià,population with low studies (%),.., 
2015,Barcelona,Sarrià,young population without post-compulsory education (%),.., 
2015,Barcelona,Sarrià,foreign population from low or middle income countries (%),,3.6
2015,Barcelona,Sarrià,average income per person (€),,22733
2015,Barcelona,les Tres Torres,employed population (%),,62
2015,Barcelona,les Tres Torres,low-skilled workers (%),,2
2015,Barcelona,les Tres Torres,population with low studies (%),.., 
2015,Barcelona,les Tres Torres,young population without post-compulsory education (%),.., 
2015,Barcelona,les Tres Torres,foreign population from low or middle income countries (%),,3.4
2015,Barcelona,les Tres Torres,average income per person (€),,26872
2015,Barcelona,Sant Gervasi-la Bonanova,employed population (%),,61.1
2015,Barcelona,Sant Gervasi-la Bonanova,low-skilled workers (%),,2.8
2015,Barcelona,Sant Gervasi-la Bonanova,population with low studies (%),.., 
2015,Barcelona,Sant Gervasi-la Bonanova,young population without post-compulsory education (%),.., 
2015,Barcelona,Sant Gervasi-la Bonanova,foreign population from low or middle income countries (%),,5.3
2015,Barcelona,Sant Gervasi-la Bonanova,average income per person (€),,23199
